admin1,MMWRyear,MMWRweek,,
Haut-Katanga,2016,17,,
Haut-Katanga,2016,17,,
Haut-Katanga,2016,17,,
Haut-Katanga,2016,16,,
Haut-Katanga,2016,16,,
Haut-Katanga,2016,13,,
Haut-Katanga,2016,13,,
Haut-Katanga,2016,10,,
Haut-Katanga,2016,7,,
Haut-Katanga,2016,3,,
Haut-Katanga,2016,1,,
Haut-Katanga,2015,52,,
Haut-Katanga,2015,52,,
Haut-Katanga,2015,50,,
Haut-Katanga,2015,48,,
Haut-Katanga,2015,46,,
Haut-Katanga,2015,45,,
Haut-Katanga,2015,45,,
Haut-Katanga,2015,44,,
Haut-Katanga,2015,44,,
Haut-Katanga,2015,43,,
Haut-Katanga,2015,38,,
Haut-Katanga,2015,37,,
Haut-Katanga,2015,35,,
Haut-Katanga,2015,35,,
Haut-Katanga,2015,33,,
Haut-Katanga,2015,27,,
Haut-Katanga,2015,21,,
Haut-Katanga,2015,21,,
Haut-Katanga,2015,21,,
Haut-Katanga,2015,20,,
Haut-Katanga,2015,19,,
Haut-Katanga,2015,17,,
Haut-Katanga,2015,12,,
Haut-Katanga,2015,11,,
Haut-Katanga,2015,9,,
Haut-Katanga,2015,9,,
Haut-Katanga,2015,8,,
Haut-Katanga,2015,7,,
Haut-Katanga,2015,4,,
Haut-Katanga,2015,3,,
Haut-Katanga,2014,53,,
Haut-Katanga,2014,52,,
Haut-Katanga,2014,51,,
Haut-Katanga,2014,47,,
Haut-Katanga,2014,45,,
Haut-Katanga,2014,45,,
Haut-Katanga,2014,45,,
Haut-Katanga,2014,45,,
Haut-Katanga,2014,44,,
Haut-Katanga,2014,44,,
Haut-Katanga,2014,44,,
Haut-Katanga,2014,43,,
Haut-Katanga,2014,43,,
Haut-Katanga,2014,43,,
Haut-Katanga,2014,43,,
Haut-Katanga,2014,43,,
Haut-Katanga,2014,41,,
Haut-Katanga,2014,40,,
Haut-Katanga,2014,40,,
Haut-Katanga,2014,40,,
Haut-Katanga,2014,39,,
Haut-Katanga,2014,39,,
Haut-Katanga,2014,38,,
Haut-Katanga,2014,38,,
Haut-Katanga,2014,37,,
Haut-Katanga,2014,36,,
Haut-Katanga,2014,35,,
Haut-Katanga,2014,33,,
Haut-Katanga,2014,33,,
Haut-Katanga,2014,32,,
Haut-Katanga,2014,31,,
Haut-Katanga,2014,30,,
Haut-Katanga,2014,28,,
Haut-Katanga,2014,27,,
Haut-Katanga,2014,25,,
Haut-Katanga,2014,24,,
Haut-Katanga,2014,22,,
Haut-Katanga,2014,20,,
Haut-Katanga,2014,19,,
Haut-Katanga,2014,19,,
Haut-Katanga,2014,19,,
Haut-Katanga,2014,18,,
Haut-Katanga,2014,17,,
Haut-Katanga,2014,16,,
Haut-Katanga,2014,15,,
Haut-Katanga,2014,15,,
Haut-Katanga,2014,15,,
Haut-Katanga,2014,13,,
Haut-Katanga,2014,12,,
Haut-Katanga,2014,11,,
Haut-Katanga,2014,11,,
Haut-Katanga,2014,9,,
Haut-Katanga,2014,8,,
Haut-Katanga,2014,7,,
Haut-Katanga,2014,7,,
Haut-Katanga,2014,7,,
Haut-Katanga,2014,5,,
Haut-Katanga,2014,4,,
Haut-Katanga,2014,2,,
Haut-Katanga,2014,2,,
Haut-Katanga,2014,2,,
Haut-Katanga,2014,2,,
Haut-Katanga,2014,2,,
Haut-Katanga,2014,2,,
Haut-Katanga,2014,1,,
Haut-Katanga,2014,1,,
Haut-Katanga,2014,1,,
Haut-Katanga,2014,1,,
Haut-Katanga,2013,52,,
Haut-Katanga,2013,51,,
Haut-Katanga,2013,51,,
Haut-Katanga,2013,49,,
Haut-Katanga,2013,48,,
Haut-Katanga,2013,44,,
Haut-Katanga,2013,44,,
Haut-Katanga,2013,44,,
Haut-Katanga,2013,44,,
Haut-Katanga,2013,43,,
Haut-Katanga,2013,42,,
Haut-Katanga,2013,39,,
Haut-Katanga,2013,37,,
Haut-Katanga,2013,33,,
Haut-Katanga,2013,32,,
Haut-Katanga,2013,31,,
Haut-Katanga,2013,28,,
Haut-Katanga,2013,26,,
Haut-Katanga,2013,25,,
Haut-Katanga,2013,25,,
Haut-Katanga,2013,25,,
Haut-Katanga,2013,20,,
Haut-Katanga,2013,20,,
Haut-Katanga,2013,20,,
Haut-Katanga,2013,19,,
Haut-Katanga,2013,18,,
Haut-Katanga,2013,17,,
Haut-Katanga,2013,17,,
Haut-Katanga,2013,16,,
Haut-Katanga,2013,16,,
Haut-Katanga,2013,16,,
Haut-Katanga,2013,15,,
