lctn_pr,admin0,admin1,admin2,start_date,end_date,year,month,day,ipcc_region,ipcc_code,lon,lat
14633,COD,orientale,nyarambehealthdistrict,2013-03-18,2013-11-24,2013,3,18,S.Eastern-Africa,SEAF,31.154728102378,2.15311879407578
14635,COD,orientale,rethyhealthdistrict,2013-09-02,2013-12-01,2013,9,2,S.Eastern-Africa,SEAF,30.7411041146801,2.07502701986262
14638,COD,orientale,tchomiahealthdistrict,2012-01-09,2012-10-28,2012,1,9,S.Eastern-Africa,SEAF,30.4597890989263,1.4826198774929
14638,COD,orientale,tchomiahealthdistrict,2012-12-31,2013-06-02,2012,12,31,S.Eastern-Africa,SEAF,30.4597890989263,1.4826198774929
14641,COD,orientale,yahumahealthdistrict,2012-06-04,2012-09-23,2012,6,4,Central-Africa,CAF,23.1431998475334,0.841036173762761
14642,COD,orientale,yakusuhealthdistrict,2011-04-25,2011-07-24,2011,4,25,Central-Africa,CAF,24.6398931551445,0.676074450714632
14988,COD,sudkivu,bunyakirihealthdistrict,2010-01-18,2010-10-03,2010,1,18,S.Eastern-Africa,SEAF,28.4432188664825,-2.03095275423164
14988,COD,sudkivu,bunyakirihealthdistrict,2011-09-19,2011-10-23,2011,9,19,S.Eastern-Africa,SEAF,28.4432188664825,-2.03095275423164
14989,COD,sudkivu,fizihealthdistrict,2013-11-04,2014-01-26,2013,11,4,S.Eastern-Africa,SEAF,29.0505705654667,-4.42557533651802
14989,COD,sudkivu,fizihealthdistrict,2015-12-14,2016-03-06,2015,12,14,S.Eastern-Africa,SEAF,29.0505705654667,-4.42557533651802
14989,COD,sudkivu,fizihealthdistrict,2016-11-21,2017-03-05,2016,11,21,S.Eastern-Africa,SEAF,29.0505705654667,-4.42557533651802
14665,COD,sudkivu,kabarehealthdistrict,2011-12-05,2012-03-11,2011,12,5,S.Eastern-Africa,SEAF,28.7136708515268,-2.43764873900784
14665,COD,sudkivu,kabarehealthdistrict,2019-12-16,2020-01-12,2019,12,16,S.Eastern-Africa,SEAF,28.7136708515268,-2.43764873900784
14667,COD,sudkivu,kalehehealthdistrict,2019-10-21,2020-01-12,2019,10,21,S.Eastern-Africa,SEAF,28.7443265628724,-2.05228090856415
14669,COD,sudkivu,kalongehealthdistrict,2011-04-04,2011-06-26,2011,4,4,S.Eastern-Africa,SEAF,28.484756268469,-2.32904916057498
14670,COD,sudkivu,kamitugahealthdistrict,2013-06-17,2013-11-17,2013,6,17,S.Eastern-Africa,SEAF,28.1595717587766,-3.15195410923592
